Original_Title,Normalized_Title,Primary_Attribute,Secondary_Attribute,Group_ID,Notes
Category,Style,Style,,1d1a32de-6adc-422a-8aa0-873858abdef0,Language: cy
Fabric Collection,Material,Material,,1d95ad0c-f8b9-4983-8f67-0b1416606942,Language: en
Desk Orientation,Other,Other,,68a3d31d-cca0-4547-8a3f-da82006dae7d,"Language: da; Ambiguous title, requires manual review"
Size - Kids Tights,Size,Size,,d1d2f671-b3ea-4d2e-9c0f-e65078c37cd4,Language: de
treatment duration,Other,Other,,d1a1a6ec-e578-4c14-b61e-7be2e9caabbf,"Language: fr; Ambiguous title, requires manual review"
OUNCES,Other,Other,,6dad82df-f59e-4b61-9a59-9afbe41aa1cc,"Language: pt; Ambiguous title, requires manual review"
Emitting Color ,Color,Color,,group_1,Language: en
Panel Size,Size,Size,,group_2,Language: it
Corner,Other,Other,,271a1f83-b668-4080-a7de-d8dd2e31169c,"Language: en; Ambiguous title, requires manual review"
Bar Width (MM),Size,Size,,group_3,Language: en
Barrel Size,Size,Size,,group_4,Language: de
Team/Player,Other,Other,,666ffd9d-915e-4729-8d09-953f095c588f,"Language: en; Ambiguous title, requires manual review"
Fan Size,Size,Size,,047987b2-7b57-4400-97e7-9c8794b9cde7,Language: de
Package Size,Quantity,Quantity,Size,group_5,Language: de; Fuzzy match: pack size (score: 86)
Climate Protection,Other,Other,,group_6,"Language: en; Ambiguous title, requires manual review"
Headcover Style,Style,Style,,group_7,Language: en
SELECT SIZE:,Other,Other,,group_8,Language: en
Total Carat Weight,Other,Other,,d00d8497-2135-426a-92d8-372b348833ef,"Language: en; Ambiguous title, requires manual review"
DNU 0-13 ODD,Other,Other,,d04a11a9-6233-4a67-a7ab-1770b6dc8dd9,"Language: de; Ambiguous title, requires manual review"
Ignition System,Other,Other,,99842f76-6f19-4788-8be9-b39ae553166c,"Language: en; Ambiguous title, requires manual review"
MODEL,Style,Style,,group_9,Language: sw
Women's Modal Sleep Pant (Size),Size,Size,,group_10,Language: nl
WB(ALL),Other,Other,,f589c400-e599-485d-87b3-ea986f298654,"Language: en; Ambiguous title, requires manual review"
Women's Modal Sleep Short (Size),Size,Size,,group_10,Language: nl
Bottom Coverage,Other,Other,,group_11,"Language: sv; Ambiguous title, requires manual review"
Back Print,Other,Other,,4de12153-0548-47c8-bef4-f5635121ea0b,"Language: en; Ambiguous title, requires manual review"
Light Temperature,Other,Other,,44b0e5d2-ef3f-4be8-990a-08345c853662,"Language: en; Ambiguous title, requires manual review"
Characters,Other,Other,,4c7a7f09-261c-42d0-9676-3851751377ee,"Language: en; Ambiguous title, requires manual review"
<b>Hair Weft Length/inch</b>,Other,Other,,group_12,"Language: en; Ambiguous title, requires manual review"
Disc,Other,Other,,94137878-168a-420b-ae1b-67b49220c527,"Language: de; Ambiguous title, requires manual review"
Cantidad,Quantity,Quantity,,group_13,Language: pt
Diameter:,Size,Size,,group_14,Language: af
Metal Color x Stud Length,Size,Size,Color,group_15,Language: en
8 Sizes from 26 to 38,Other,Other,Size,3c09b281-f227-45a4-aeb1-daa6cfd5cd6f,"Language: en; Ambiguous title, requires manual review"
Choose size,Other,Other,Size,group_16,Language: en; Fuzzy match: choose a size (score: 92)
Select Frame,Other,Other,,f9589ac2-c19e-4375-abcf-597b413c6407,"Language: en; Ambiguous title, requires manual review"
size chart,Other,Other,,group_17,Language: it
Seat,Other,Other,,group_18,"Language: en; Ambiguous title, requires manual review"
Select an Option,Other,Other,,group_19,"Language: en; Ambiguous title, requires manual review"
Choose Your Style,Other,Other,,group_20,Language: en
Choose Zodiac,Other,Other,,group_21,"Language: nl; Ambiguous title, requires manual review"
SELECT GRIND TYPE,Style,Style,,group_22,Language: en
Slide,Other,Other,,group_23,"Language: da; Ambiguous title, requires manual review"
Bottle Color,Color,Color,,group_24,Language: en
Center Symbol,Other,Other,,68105cd1-cf5f-42b0-801f-a49c4724146c,"Language: da; Ambiguous title, requires manual review"
Sink Rate,Other,Other,,4008e712-c06a-4c44-b0c6-a2d8b579f466,"Language: de; Ambiguous title, requires manual review"
Target gender,Other,Other,,8af42fab-f547-4a55-8d78-621df5f5a2f4,"Language: da; Ambiguous title, requires manual review"
Select Option,Other,Other,,group_25,"Language: en; Ambiguous title, requires manual review"
Weight`,Other,Other,,group_26,Language: de
Plate,Other,Other,,group_27,"Language: en; Ambiguous title, requires manual review"
Battery Mount,Other,Other,,group_28,"Language: en; Ambiguous title, requires manual review"
