Original_Title,Normalized_Title,Primary_Attribute,Secondary_Attribute,Group_ID,Notes
Size,Size,Size,,33aacb80-d315-4b71-b3de-b902d92a6d38,Language: de
Title,Other,Other,,group_1,Language: tr
Color,Color,Color,,group_2,Language: it
Style,Style,Style,,group_3,Language: fi
Material,Material,Material,,group_4,Language: ro
Colour,Color,Color,,group_5,Language: fr
SIZE,Size,Size,,f3c3c8d1-d207-480e-9577-b1591b8ac61f,Language: de
Finish,Style,Style,,group_6,Language: sq
size,Size,Size,,24ba35b7-c061-44a5-903e-bfe9292c683f,Language: lv
COLOR,Color,Color,,group_2,Language: en
Metal,Material,Material,,group_7,Language: id
Length,Size,Size,,group_8,Language: de
What would you like to order?,Other,Other,,015442a4-b6e4-45c2-a79d-ae0422805dd9,"Language: en; Ambiguous title, requires manual review"
Fabric type,Material,Material,,group_9,Language: en
Case Type,Style,Style,,group_10,Language: en
Product,Other,Other,,group_11,"Language: en; Ambiguous title, requires manual review"
Diamond Shape,Style,Style,,2eca6228-1f1f-464d-80d0-86f6d19c7414,Language: en
Type,Style,Style,,group_12,Language: no
Framing Options,Style,Style,,2ac6480b-331a-458e-9e43-a6c8bcef3189,Language: en
Couleur,Color,Color,,95491cc3-9e6a-4998-aa0a-f926aac9c13d,Language: fr
Sizes,Size,Size,,55263a6c-82c4-46cf-8b60-252f81ebae82,Language: de
Sheen,Style,Style,,072fd161-198c-414e-995d-cc6258ebcf72,Language: nl
Condition,Other,Other,,d46a2ae3-385a-45f7-ad2c-302601a19d2b,Language: en
Grandeur,Size,Size,,aa9d9643-12c7-44f2-9033-2b131122dd52,Language: de
Ships From,Other,Other,,group_13,Language: en
Gemstone,Material,Material,,group_14,Language: de
Width,Size,Size,,group_15,Language: de
color,Color,Color,,group_2,Language: it
Quantity,Quantity,Quantity,,group_16,Language: tl
Plant Size,Size,Size,,group_17,Language: de
"Size in EURO (Note - These shoes match the size chart, but if your feet are wide, it's best to choose a size larger)",Size,Size,,c712f69d-b53b-47b0-911f-f4e5200b21d9,Language: en
Sleeves,Other,Other,,1491acde-e2cd-4621-85cf-36ed9e5142a2,"Language: nl; Ambiguous title, requires manual review"
Door Handing,Other,Other,,a7344c8a-1d4e-4638-a682-9facb92d6821,"Language: nl; Ambiguous title, requires manual review"
Color Code,Color,Color,,group_18,Language: es
Wood Finish,Material,Material,,14ed7b3b-d6a8-47a9-9cec-3f11985a0c1d,Language: en
Inseam,Size,Size,,group_19,Language: en
Border Options,Style,Style,,b9f33aa2-d3d5-4117-9ae2-36109e46f005,Language: da
Canvas Size,Size,Size,,2bc28f45-7a0d-4fb2-96e3-a1be825c1aca,Language: lv
Texture,Style,Style,,96ba78af-bc02-46f4-8a37-efd48340f698,Language: ro
Art Size,Size,Size,,de4e196c-d50a-47f3-9c7b-030432554a94,Language: de
Weight,Other,Other,,group_20,Language: de
Select,Other,Other,,group_21,"Language: en; Ambiguous title, requires manual review"
Fabric,Material,Material,,group_9,Language: pt
FABRIC,Material,Material,,group_9,Language: de
Options,Other,Other,,group_22,Language: fr
DNU - 2XS-3XL,Other,Other,,d237a759-48a0-4188-9b51-67ae911bd823,"Language: so; Ambiguous title, requires manual review"
Function - Backset,Other,Other,,d27ff534-2506-4048-9e22-7d7d2fea3576,"Language: en; Ambiguous title, requires manual review"
Coverage,Other,Other,,2658c119-7050-4288-ad3f-ec400bbc96a7,"Language: no; Ambiguous title, requires manual review"
Option,Other,Other,,group_23,Language: en
Color1,Color,Color,,c1dcfb99-7e7b-49d2-b62c-ae78e13d29a8,Language: en
Nib Size,Size,Size,,18e81c4f-2d46-4c74-98e0-bd7431aac532,Language: de
Leg Height (in) | Leg Width (in),Size,Size,,e619b320-3593-41e5-a8ae-0ba715725d89,Language: de
old_id,Other,Other,,729fb130-7d0e-4d7f-b447-52e4574a3976,"Language: cy; Ambiguous title, requires manual review"
Gemstone Type,Style,Style,,group_14,Language: no
Product Type,Style,Style,,group_11,Language: en
Backset,Other,Other,,26bbd804-7fec-4fb6-b2f0-5166356d4632,"Language: sv; Ambiguous title, requires manual review"
Fit,Style,Style,,group_24,Language: de
Select Size,Other,Other,,group_21,Language: ro
Device,Other,Other,,group_25,"Language: nl; Ambiguous title, requires manual review"
Ring Size,Size,Size,,group_26,Language: de
Shape,Style,Style,,group_27,Language: en
Metal Color,Color,Color,,group_7,Language: it
Case Details Color,Color,Color,,94857de1-4558-48eb-a2b3-3444974d6486,Language: en
Team,Other,Other,,group_28,Language: en
