Original_Title,Normalized_Title,Primary_Attribute,Secondary_Attribute,Group_ID,Notes
What would you like to order?,Other,Other,,015442a4-b6e4-45c2-a79d-ae0422805dd9,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Product,Other,Other,,group_11,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Sleeves,Other,Other,,1491acde-e2cd-4621-85cf-36ed9e5142a2,"Language: nl; Ambiguous title, requires manual review; Advanced QA applied"
Door Handing,Other,Other,,a7344c8a-1d4e-4638-a682-9facb92d6821,"Language: nl; Ambiguous title, requires manual review; Advanced QA applied"
Select,Other,Other,,group_21,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
DNU - 2XS-3XL,Other,Other,,d237a759-48a0-4188-9b51-67ae911bd823,"Language: so; Ambiguous title, requires manual review; Advanced QA applied"
Function - Backset,Other,Other,,d27ff534-2506-4048-9e22-7d7d2fea3576,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Coverage,Other,Other,,2658c119-7050-4288-ad3f-ec400bbc96a7,"Language: no; Ambiguous title, requires manual review; Advanced QA applied"
old_id,Other,Other,,729fb130-7d0e-4d7f-b447-52e4574a3976,"Language: cy; Ambiguous title, requires manual review; Advanced QA applied"
Backset,Other,Other,,26bbd804-7fec-4fb6-b2f0-5166356d4632,"Language: sv; Ambiguous title, requires manual review; Advanced QA applied"
Device,Other,Other,,group_25,"Language: nl; Ambiguous title, requires manual review; Advanced QA applied"
Product Options,Other,Other,,5b756291-a1e2-432b-8f34-ef4a558b7889,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Waist,Other,Other,,group_37,"Language: fi; Ambiguous title, requires manual review; Advanced QA applied"
Details,Other,Other,,81cfac70-99b5-471e-843f-86b46c45a5e4,"Language: no; Ambiguous title, requires manual review; Advanced QA applied"
Sofa Version,Other,Other,,1d80beda-27c7-4d9b-8845-654a06ddee70,"Language: de; Ambiguous title, requires manual review; Advanced QA applied"
Orientation,Other,Other,,a73181d8-e4eb-41bd-9db6-5c95e6ac114c,"Language: fr; Ambiguous title, requires manual review; Advanced QA applied"
By Age,Other,Other,,group_39,"Language: tl; Ambiguous title, requires manual review; Advanced QA applied"
Package,Other,Other,,34bed91b-42fd-4acc-ab67-ecc94c96f29c,"Language: sv; Ambiguous title, requires manual review; Advanced QA applied"
ARNE Collection,Other,Other,,16c67b37-4d2d-48a0-a706-4983e4b29eac,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
BL,Other,Other,,d864d073-4bbf-48e3-a9af-4ad16c2675a4,"Language: de; Ambiguous title, requires manual review; Advanced QA applied"
Configuration,Other,Other,,eda535f9-02b8-439b-8f23-d08a5640085e,"Language: it; Ambiguous title, requires manual review; Advanced QA applied"
Denominations,Other,Other,,43625fbe-2fa5-4522-8aa3-1b5c12003eb5,"Language: sv; Ambiguous title, requires manual review; Advanced QA applied"
Edges,Other,Other,,2869fb2a-51de-4cfa-94a3-3e6e344fc313,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Rod Pocket(s),Other,Size,,999ec0f6-0b9e-4dc1-804f-5ac708b3ddca,Assigned to Size (regex match)
Cushion,Other,Other,,group_50,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Lens,Other,Other,,group_55,"Language: fr; Ambiguous title, requires manual review; Advanced QA applied"
Unit,Other,Other,,3f180544-b69c-468d-b0b1-47a0927de850,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Housing Finish,Other,Other,,8ab5173b-f328-4496-9251-04f048a0b205,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Sex,Other,Other,,e12b6d34-792c-4809-a04f-362de36becd9,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Grind,Other,Other,,group_57,"Language: de; Ambiguous title, requires manual review; Advanced QA applied"
Bottom,Other,Other,,group_63,"Language: it; Ambiguous title, requires manual review; Advanced QA applied"
Optional Cup Holders,Other,Other,,0a91b143-31d3-4ac4-96bc-ead9e8ddbeb1,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Rate,Other,Other,,aa899b9d-c6e8-4e7b-8cb4-55b57e410679,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Swing,Other,Other,,33a6156f-0b97-47cf-b48d-d94fa7440e17,"Language: af; Ambiguous title, requires manual review; Advanced QA applied"
Quality Level,Other,Other,,19fa26fc-c001-4efe-8860-a90bf5f2af83,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Term,Other,Other,,fa18efff-c6ae-4ab2-82ae-212dbee2bfc7,"Language: id; Ambiguous title, requires manual review; Advanced QA applied"
Talla,Other,Other,,group_72,"Language: et; Ambiguous title, requires manual review; Advanced QA applied"
Board Model,Other,Other,,45c734e3-f007-4dcb-b1b6-5d8951906761,"Language: nl; Ambiguous title, requires manual review; Advanced QA applied"
Hand,Other,Other,,dfd9942b-9948-4fe0-8a39-e5d1169c8704,"Language: sv; Ambiguous title, requires manual review; Advanced QA applied"
Capacity,Other,Other,,7d438f45-3c35-4440-af7b-86b3041654ec,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
Adult Sizes,Other,Other,Size,7e51fae3-9299-4152-af94-b6015a8cd83e,"Language: de; Ambiguous title, requires manual review; Advanced QA applied"
Gold,Other,Other,,group_30,"Language: cy; Ambiguous title, requires manual review; Advanced QA applied"
Wattage,Other,Other,,group_75,"Language: sv; Ambiguous title, requires manual review; Advanced QA applied"
Prescription,Other,Other,,group_76,"Language: fr; Ambiguous title, requires manual review; Advanced QA applied"
Chains or Ropes,Other,Other,,group_79,"Language: en; Ambiguous title, requires manual review; Advanced QA applied"
S-M-L,Other,Size,,67c20577-946a-4546-8f54-b4c8e4fb43de,Assigned to Size (regex match)
Variant,Other,Other,,group_80,"Language: lt; Ambiguous title, requires manual review; Advanced QA applied"
